Date,Price_USD,Price_CNY,Price_AUD
2025-08-09,59.75,468.7,92.015
2025-08-09,59.75,468.7,92.015
2025-08-10,59.75,468.7,92.015
2025-08-10,59.75,468.7,91.4175
2025-08-10,59.75,468.7,91.4175
2025-08-11,59.75,468.7,91.4175
2025-08-11,59.75,468.7,91.4175
2025-08-12,59.69,468.3,91.3257
2025-08-12,59.69,468.3,91.3257
2025-08-13,59.79,469.1,91.4787
2025-08-13,59.79,469.1,91.4787
2025-08-14,59.79,469.1,91.4787
2025-08-14,59.79,469.1,91.4787
2025-08-15,59.75,468.7,91.4175
2025-08-15,59.75,468.7,91.4175
2025-08-16,59.75,468.7,91.4175
2025-08-16,59.75,468.7,91.4175
2025-08-17,59.7,468.3,91.34100000000001
2025-08-17,59.7,468.3,91.34100000000001
2025-08-18,59.7,468.3,91.34100000000001
2025-08-18,59.7,468.3,91.34100000000001
2025-08-19,59.7,468.3,91.34100000000001
2025-08-19,59.7,468.3,91.34100000000001
2025-08-20,60.4,473.8,92.412
2025-08-20,59.75,468.7,91.4175
2025-08-21,59.79,469.1,91.4787
2025-08-21,59.79,469.1,91.4787
2025-08-22,59.75,468.7,91.4175
2025-08-22,59.75,468.7,91.4175
2025-08-23,59.89,469.8,91.63170000000001
2025-08-23,59.89,469.8,91.63170000000001
2025-08-24,59.85,469.5,91.57050000000001
2025-08-24,59.85,469.5,91.57050000000001
2025-08-25,59.85,469.5,91.57050000000001
2025-08-25,59.85,469.5,91.57050000000001
2025-08-26,59.99,470.6,91.7847
2025-08-26,60.65,475.8,92.7945
2025-08-27,59.99,470.6,91.7847
2025-08-27,59.99,470.6,91.7847
2025-08-28,59.99,470.6,91.7847
2025-08-28,59.99,470.6,91.7847
2025-08-29,60.19,472.2,92.0907
2025-08-29,60.19,472.2,92.0907
2025-08-30,55.99,439.2,85.66470000000001
2025-08-30,55.99,439.2,85.66470000000001
2025-08-31,60.19,472.2,92.0907
2025-08-31,60.19,472.2,92.0907
2025-09-01,60.19,472.2,92.0907
2025-09-01,60.19,472.2,92.0907
2025-09-02,60.1,471.5,91.953
2025-09-02,60.1,471.5,91.953
2025-09-03,60.09,471.4,91.9377
2025-09-03,60.09,471.4,91.9377
2025-09-04,60.09,471.4,91.9377
2025-09-04,60.09,471.4,91.9377
2025-09-05,60.09,471.4,91.9377
2025-09-05,60.09,471.4,91.9377
2025-09-06,60.09,471.4,91.9377
2025-09-06,60.09,471.4,91.9377
2025-09-07,60.79,476.9,93.0087
2025-09-07,60.09,471.4,91.9377
2025-09-08,60.09,471.4,91.9377
2025-09-08,60.09,471.4,91.9377
2025-09-09,60.09,471.4,91.9377
2025-09-09,60.19,472.2,92.0907
2025-09-10,60.25,472.7,92.1825
2025-09-10,60.25,472.7,92.1825
2025-09-11,60.25,472.7,92.1825
2025-09-11,60.25,472.7,92.1825
2025-09-12,60.29,473.0,92.2437
2025-09-12,60.29,473.0,92.2437
2025-09-13,60.25,472.7,92.1825
2025-09-13,60.25,472.7,92.1825
2025-09-14,60.25,472.7,92.1825
2025-09-14,60.25,472.7,92.1825
2025-09-15,60.89,477.7,93.1617
2025-09-15,60.89,477.7,93.1617
2025-09-16,60.89,477.7,93.1617
2025-09-16,60.95,478.2,93.2535
2025-09-17,60.95,478.2,93.2535
2025-09-17,60.95,478.2,93.2535
2025-09-18,61.05,478.9,93.4065
2025-09-18,61.05,478.9,93.4065
